fighter,height_cm,reach_cm,weight_kg,stance,age,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Tom Aaron,,,70.3,,48.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Papy Abedi,180.3,,83.9,Southpaw,48.2,2.8,0.55,3.15,0.48,3.47,0.57,0.5,1.3
Shamil Abdurakhimov,190.5,193.0,106.6,Orthodox,45.1,2.45,0.44,2.45,0.58,1.23,0.24,0.47,0.2
Danny Abbadi,180.3,,70.3,Orthodox,43.2,3.29,0.38,4.41,0.57,0.0,0.0,0.77,0.0
Hiroyuki Abe,167.6,,65.8,Orthodox,,1.71,0.36,3.11,0.63,0.0,0.0,0.33,0.0
Ricardo Abreu,180.3,,83.9,Orthodox,42.4,3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7
Daichi Abe,180.3,180.3,77.1,Orthodox,34.8,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0
David Abbott,182.9,,120.2,Switch,,1.35,0.3,3.55,0.38,1.07,0.33,0.66,0.0
Klidson Abreu,182.9,188.0,93.0,Orthodox,33.7,2.05,0.4,2.9,0.55,0.64,0.2,0.8,0.0
Daniel Acacio,172.7,,81.6,Orthodox,48.7,3.52,0.36,2.85,0.62,0.33,0.2,0.81,0.0
Scott Adams,182.9,,102.1,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Adams,195.6,203.2,120.2,Orthodox,34.7,7.09,0.55,4.06,0.34,0.91,0.66,0.57,0.0
Anthony Adams,185.4,193.0,83.9,Orthodox,38.7,3.17,0.41,5.93,0.44,0.0,0.0,0.0,0.0
Sam Adkins,190.5,,102.1,Orthodox,61.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Israel Adesanya,193.0,203.2,83.9,Switch,37.2,3.95,0.49,2.63,0.61,0.0,0.0,0.82,0.3
Zarrukh Adashev,165.1,165.1,56.7,Southpaw,34.2,1.93,0.23,3.35,0.6,0.0,0.0,0.0,0.0
Marcelo Aguiar,177.8,,77.1,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Agallar,172.7,,70.3,Orthodox,47.7,0.69,0.11,4.56,0.42,0.0,0.0,0.0,0.0
Mariya Agapova,167.6,172.7,56.7,Southpaw,29.5,3.7,0.5,4.15,0.47,1.23,0.66,0.33,0.6
Edwin Aguilar,177.8,,83.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabio Aguiar,182.9,,83.9,,38.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jessica Aguilar,160.0,160.0,52.2,Orthodox,44.4,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2
Kevin Aguilar,170.2,185.4,70.3,Orthodox,38.0,3.69,0.37,4.47,0.53,0.19,0.25,0.87,0.0
Christian Aguilera,175.3,182.9,77.1,Switch,34.8,3.35,0.41,4.89,0.46,0.0,0.0,0.0,0.0
Hitomi Akano,162.6,,61.2,Southpaw,52.2,0.59,0.45,2.58,0.55,0.0,0.0,0.08,0.5
Mike Aina,175.3,,70.3,Orthodox,,2.87,0.33,6.33,0.59,0.0,0.0,0.71,0.0
Rostem Akman,177.8,182.9,77.1,Switch,34.8,1.8,0.25,3.97,0.57,1.0,0.4,0.87,0.0
